id;date_created;date_updated;kcell_as;kcell_ip;provider_as;provider_ip;service;service_capacity;service_type_catalog_id;service_type_id;status;vlan ;vpn_number;vpn_termination_point_2;port_id
1;29/06/2023;29/06/2023;29355;10.1.4.90;9198;10.1.4.89;L3;119;83;1;Active;2816;VPN0508;1;1
2;29/06/2023;29/06/2023;29355;10.0.0.250;9198;10.0.0.249;L3;30;83;3;Active;3905;VPN0027;1;1
3;29/06/2023;29/06/2023;29355;10.1.4.82;9198;10.1.4.81;L3;3224;83;11;Active;3908;VPN0028;1;1
4;29/06/2023;29/06/2023;29355;10.0.211.58;9198;10.0.211.57;L3;110;83;19;Active;3912;VPN0351;1;1
5;29/06/2023;29/06/2023;29355;10.0.0.246;9198;10.0.0.245;L3;200;83;26;Active;3904;VPN0026;1;1
6;29/06/2023;29/06/2023;29355;10.1.4.78;9198;10.1.4.77;L3;40;83;29;Active;3907;VPN0029;1;1
7;29/06/2023;29/06/2023;29355;10.1.4.74;9198;10.1.4.73;L3;13;83;17;Active;1759;VPN0695;1;1
8;29/06/2023;29/06/2023;29355;10.1.4.70;9198;10.1.4.69;L3;14350;83;7;Active;3913;VPN0458;1;1
9;29/06/2023;29/06/2023;29355;10.255.240.182;9198;10.255.240.181;L3;1;83;16;Active;3915;VPN1598;1;1
10;29/06/2023;29/06/2023;29355;10.1.4.114;9198;10.1.4.113;L3;1000;83;4;Active;2570;VPN1955;1;1
11;29/06/2023;29/06/2023;29355;10.1.60.130;9198;10.1.60.129;L3;119;83;1;Active;2816;VPN0508P;2;2
12;29/06/2023;29/06/2023;29355;10.1.60.134;9198;10.1.60.133;L3;30;83;3;Active;3905;VPN0027P;2;2
13;29/06/2023;29/06/2023;29355;10.1.60.138;9198;10.1.60.137;L3;2900;83;11;Active;3908;VPN0028P;2;2
14;29/06/2023;29/06/2023;29355;10.1.60.142;9198;10.1.60.141;L3;110;83;19;Active;3912;VPN0351P;2;2
15;29/06/2023;29/06/2023;29355;10.1.60.146;9198;10.1.60.145;L3;200;83;26;Active;3904;VPN0026P;2;2
16;29/06/2023;29/06/2023;29355;10.1.60.150;9198;10.1.60.149;L3;40;83;29;Active;3907;VPN0029P;2;2
17;29/06/2023;29/06/2023;29355;10.1.60.154;9198;10.1.60.153;L3;13;83;17;Active;1759;VPN0695P;2;2
